artist,alphaname,artist_id
13th Floor Elevators,Thirteenth Floor Elevators,7xYxgSJaIf7yOFLmknYX38
Abderraouf Ouertani,"Ouertani, Abderraouf",7fLHLIzQkhIOqrotQlR1rA
Alphataurus,Alphataurus,6mFPT1M2JWpuoSGSCQCpHX
Anton Webern,"Webern, Anton",6cg7ooZDeSSLYVTWGpASjX
Anvil,Anvil,0maNhqGx60ucjS4UaAH6cP
Aram Khachaturian,"Khachaturian, Aram",5WIoytpqi3VWoFSHnl49in
Archie Shepp,"Shepp, Archie",7C2DSqaNkh0w77O5Jz1FKh
Arnold Schoenberg,"Schoenberg, Arnold",5U827e4jbYz6EjtN0fIDt9
Area,Area,6o2PxnpsrQ352kwYlEwjvR
Aziz Sahmaoui,"Sahmaoui, Aziz",2MyGX3OGQZIkztt1Rx2dNF
Beggars Opera,Beggars Opera,1Q1IgVCRwAqQxgcM8a64zP
Bill Bruford's Earthworks,Bill Bruford's Earthworks,3SGZVWW6QezWCRrREHvEmU
Bobby Timmons Trio,Bobby Timmons Trio,47jpbb07933jSiHmir7yda
Brand X,Brand X,4DngluvBNHm2Q0rLW1yEqy
Camille Saint-Saëns,"Saint-Saëns, Camille",436sYg6CZhNefQJogaXeK0
Cannonball Adderley,"Adderley, Cannonball",5v74mT11KGJqadf9sLw4dA
Cheikha Rimitti,"Rimitti, Cheikha",364dHqe2BwXqmOhgdBXpw8
Chicken Shack,Chicken Shack,7aUVQRiWaOqZU0JwOlGfWi
Djamel Laroussi,"Laroussi, Djamel",6MjFd7ByRlJPIWfA257iqr
Dream Theater,Dream Theater,2aaLAng2L2aWD2FClzwiep
Dün,Dün,6h76ehUqnwmeYieIVF1Vq8
Eloy,Eloy,00ZLLJ51l9Ir5gyaGSUYxL
Franco Battiato,"Battiato, Franco",4lianjyuR1tqf6oUX8kjrZ
Gentle Giant,Gentle Giant,1hrQ50kU6hMQBVLatqUqnO
Golden Earring,Golden Earring,1iTlOqIrZy8DlvCPJY2sjS
Grant Green,"Green Grant",6dAtGAnHCQ1ujMUZ9Ep82k
Grobschnitt,Grobschnitt,2dL2V37wXmRlzsTQIkisqF
Gustav Holst,"Holst, Gustav",5B7uXBeLc2TkR5Jk23qKIZ
Gábor Szabó,"Szabó, Gábor",38CPjAAqYV8lTYi6clzbjG
Hank Mobley,Hank Mobley,5cbutZUQE7SUCA6MsEMbBv
Il Balletto di Bronzo,"Balletto di Bronzo, Il",1TU5crhljL140mCyCjytTP
Il Rovescio Della Medaglia,"Rovescio Della Medaglia, Il",3C4qS2QWlIIsJpmQL9VMAg
Iron Maiden,Iron Maiden,6mdiAmATAx73kdxrNrnlao
Jaco Pastorius,"Pastorius, Jaco",3U3C9o6UTYNdEsDckpRyvX
James Gang,James Gang,5hfOHpGMsi8O3DA0ROLGqF
Jimmy Smith,"Smith, Jimmy",5GXruybcLmXPjR9rKKFyS6
Kikagaku Moyo,"Kikagaku Moyo",0hrb5WRiNlj8vh3WnCgXFq
King Gizzard & The Lizard Wizard,"King Gizzard & The Lizard Wizard",6XYvaoDGE0VmRt83Jss9Sn
Koenjihyakkei,Koenjihyakkei,5RT5HhX4GcWV55NVHt99X4
Korekyojinn,Korekyojinn,2xv04AORYRDJlAF6DCZ1VR
La coscienza di Zeno,"Coscienza di Zeno, la",7nQZVqkaUxa3A62UJSisSB
Locanda delle fate,Locanda delle fate,3Rbtl5QGOHMtfQOJZVTy3h
Logos,Logos,0sihhSAp2JQBQ2oqapkVxV
Maxophone,Maxophone,6p9KeMVhd7SS0CYh9l44bq
McCoy Tyner,"Tyner, McCoy",2EsmKkHsXK0WMNGOtIhbxr
Nikolai Rimsky-Korsakov,"Rimsky-Korsakov, Nikolai",2kXJ68O899XvWOBdpzlXgs
Oliver Nelson,"Nelson, Oliver",2nQKUeZeleLGNsJj6WLUXN
Ornette Coleman,"Coleman, Ornette",47odibUtrN3lnWx0p0pk2P
Osanna,Osanna,3lX6ZPxT3OWfRN9Hj32D6h
Oscar Peterson Trio,Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A
Paco de Lucía,"de Lucía, Paco",3h8OjAdgYXVRoMZ8jFd6Uw
Pharoah Sanders,"Sanders, Pharoah",3JLUCojZaHrX2LaUkSj7Ud
Porcupine Tree,Porcupine Tree,5NXHXK6hOCotCF8lvGM1I0
Procol Harum,Procol Harum,0GbqW5TJr7n4is453VOY4C
Quella Vecchia Locanda,Quella Vecchia Locanda,0VrvpayEoQOjiRkZQcLX2R
Rainbow,Rainbow,6SLAMfhOi7UJI0fMztaK0m
Rick Wakeman,"Wakeman, Rick",0mkcYaXUbJUs5mJointuzB
Robert Fripp,"Fripp, Robert",5HKpBHDxIDNdtmEAGXGntl
Ruins,Ruins,5BQtEi4EgMhTTIZP6cZ7qg
TOOL,TOOL,2yEwvVSSSUkcLeSTNyHKh8
Wayne Shorter,"Shorter, Wayne",0ZqhrTXYPA9DZR527ZnFdO
