artist,alphaname,artist_id,genres
13th Floor Elevators,Thirteenth Floor Elevators,7xYxgSJaIf7yOFLmknYX38,Psychedelic Rock/Acid Rock/Proto-punk/Garage Rock/Psychedelic Pop
Abderraouf Ouertani,"Ouertani, Abderraouf",7fLHLIzQkhIOqrotQlR1rA,
Alphataurus,Alphataurus,6mFPT1M2JWpuoSGSCQCpHX,Progressive Rock/Symphonic Rock/Art Rock/Krautrock
Anton Webern,"Webern, Anton",6cg7ooZDeSSLYVTWGpASjX,Avant-garde
Anvil,Anvil,0maNhqGx60ucjS4UaAH6cP,Speed Metal/Heavy Metal/Thrash Metal/Metal
Aram Khachaturian,"Khachaturian, Aram",5WIoytpqi3VWoFSHnl49in,Classical
Archie Shepp,"Shepp, Archie",7C2DSqaNkh0w77O5Jz1FKh,Free Jazz/Jazz/Avant-garde/Hard Bop
Arnold Schoenberg,"Schoenberg, Arnold",5U827e4jbYz6EjtN0fIDt9,Classical
Area,Area,6o2PxnpsrQ352kwYlEwjvR,Progressive Rock/Krautrock
Aziz Sahmaoui,"Sahmaoui, Aziz",2MyGX3OGQZIkztt1Rx2dNF,Gnawa/Moroccan Chaabi
Beggars Opera,Beggars Opera,1Q1IgVCRwAqQxgcM8a64zP,Progressive Rock/Krautrock/Symphonic Rock/Art Rock
Bill Bruford's Earthworks,Bill Bruford's Earthworks,3SGZVWW6QezWCRrREHvEmU,Jazz Fusion/Free Jazz/Progressive Rock
Bobby Timmons Trio,Bobby Timmons Trio,47jpbb07933jSiHmir7yda,Hard Bop/Jazz/Bebop
Brand X,Brand X,Jazz Fusion/ Progressive Rock/Art Rock/Symphonic Rock
Camille Saint-Saëns,"Saint-Saëns, Camille",436sYg6CZhNefQJogaXeK0,Classical
Cannonball Adderley,"Adderley, Cannonball",5v74mT11KGJqadf9sLw4dA,Jazz/Hard Bop/Bebop/Cool Jazz/Jazz Blues
Cheikha Rimitti,"Rimitti, Cheikha",364dHqe2BwXqmOhgdBXpw8,Raï/Gnawa/Algerian Chaabi
Chicken Shack,Chicken Shack,7aUVQRiWaOqZU0JwOlGfWi,Blues/Blues Rock/Classic Blues
Djamel Laroussi,"Laroussi, Djamel",6MjFd7ByRlJPIWfA257iqr,Gnawa/Algerian Chaabi/Raï
Dream Theater,Dream Theater,2aaLAng2L2aWD2FClzwiep,Progressive Metal/Progressive Rock/Metal
Dün,Dün,6h76ehUqnwmeYieIVF1Vq8,Progressive Rock/Krautrock/Avant-garde/Art Rock
Eloy,Eloy,00ZLLJ51l9Ir5gyaGSUYxL,Progressive Rock/Krautrock/Space Rock/Symphonic Rock/Art Rock/Psychedelic Rock
Franco Battiato,"Battiato, Franco",4lianjyuR1tqf6oUX8kjrZ,Italian Singer-songwriter/Singer-songwriter
Gentle Giant,Gentle Giant,1hrQ50kU6hMQBVLatqUqnO,Progressive Rock/Art Rock/Symphonic Rock/Krautrock/Jazz Fusion
Golden Earring,Golden Earring,1iTlOqIrZy8DlvCPJY2sjS,Nederpop/Classic Rock
Grant Green,Green Grant,6dAtGAnHCQ1ujMUZ9Ep82k,Hard Bop/Jazz/Jazz Funk/Soul Jazz/Bebop/Cool Jazz/Jazz Blues
Grobschnitt,Grobschnitt,2dL2V37wXmRlzsTQIkisqF,Krautrock/Progressive Rock/Space Rock/Art Rock/Electronic Rock
Gustav Holst,"Holst, Gustav",5B7uXBeLc2TkR5Jk23qKIZ,Classical/Orchestra
Gábor Szabó,"Szabó, Gábor",38CPjAAqYV8lTYi6clzbjG,
Hank Mobley,Hank Mobley,5cbutZUQE7SUCA6MsEMbBv,Hard Bop/Jazz/Bebop/Jazz Blues/Cool Jazz
Il Balletto di Bronzo,"Balletto di Bronzo, Il",1TU5crhljL140mCyCjytTP,Progressive Rock/Krautrock
Il Rovescio Della Medaglia,"Rovescio Della Medaglia, Il",3C4qS2QWlIIsJpmQL9VMAg,Progressive Rock
Iron Maiden,Iron Maiden,6mdiAmATAx73kdxrNrnlao,Heavy Metal/Metal/Hard Rock/Rock
Jaco Pastorius,"Pastorius, Jaco",3U3C9o6UTYNdEsDckpRyvX,Jazz Fusion/Jazz Funk/Jazz
James Gang,James Gang,5hfOHpGMsi8O3DA0ROLGqF,Classic Rock/Southern Rock
Jimmy Smith,"Smith, Jimmy",5GXruybcLmXPjR9rKKFyS6,Hard Bop/Soul Jazz/Jazz/Jazz Blues/Jazz Funk/Cool Jazz
Kikagaku Moyo,Kikagaku Moyo,0hrb5WRiNlj8vh3WnCgXFq,Psychedelic Rock/Space Rock/Krautrock
King Gizzard & The Lizard Wizard,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn,Psychedelic Rock/Acid Rock/Psychedelic Pop
Koenjihyakkei,Koenjihyakkei,5RT5HhX4GcWV55NVHt99X4,Avant-garde/Progressive Rock/Art Rock/Krautrock
Korekyojinn,Korekyojinn,2xv04AORYRDJlAF6DCZ1VR,Avant-garde/Math Rock/Krautrock/Progressive Rock
La coscienza di Zeno,"Coscienza di Zeno, la",7nQZVqkaUxa3A62UJSisSB,Progressive Rock
Locanda delle fate,Locanda delle fate,3Rbtl5QGOHMtfQOJZVTy3h,Progressive Rock/Symphonic Rock/Art Rock
Logos,Logos,0sihhSAp2JQBQ2oqapkVxV,Progressive Rock/Art Rock
Maxophone,Maxophone,6p9KeMVhd7SS0CYh9l44bq,Progressive Rock/Krautrock/Art Rock
