track_id,album_id,artist_id,artist,track
0WOdLoKVLLVO8Zcu29ah68,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,My Favorite Things - Live At The Half Note
5RANQdNcKrUchsNXSrM1af,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Cheap Thrills
4V0IQjv0hwEdLPYoxCF4eU,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Announcements - Announcement 2 / Live At The Half Note
2nWSLHchBsbpiqLLca2ZAV,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Song Of Praise - Live At The Half Note
0qQv3XKcr8mvZlcxcdqnvi,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Introduction And Announcements - Introduction 2 / Live At The Half Note
3daxXJzu8abECfrQNuG5Fb,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Announcements - Announcement 1 / Live At The Half Note
4Y0viZJi0J0wGGq53V8lsA,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,"One Down, One Up - Live At The Half Note"
4N05pFxj2VlUIsTdTrc904,13vOj4n0shZtxuPqrw00iP,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Introduction And Announcements - Introduction 1 / Live At The Half Note
6ZJdpaqHQGvJj6NQ3GuITN,1wL2hJoek6UmeP0GLx9VnZ,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Time After Time
2CcP08PDajq12CLNiafoKV,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Nine Types Of Industrial Pollution
1XTISXdLJLRXKNc0suhnZV,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,The Voice Of Cheese
65MwB4COqLosiXDMYnGhRY,7lRcWdFIW2mrDOu0igcfR0,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Uncle Meat: Main Title Theme
2WeRy1nUg1j0lzWe8VhkC6,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Deseri
0ongCDNtgI19em8txHsXRy,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,How Could I Be Such A Fool
2XOdh3xaiOIcWTBpIaDjOH,3S5MLt9uoIGx9GialSuBq6,6ra4GIOgCZQZMOaUECftGN,Frank Zappa,Love Of My Life
3XjbKcULhaRFTWcvzFY7OC,4VzRaSdKOXscjw5v3sur81,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Il Potere Del Canto
1tNsEnoJLHTYhqeDvWzbKg,4VzRaSdKOXscjw5v3sur81,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Scherzo in minore
5WPfU9TAfTqZ3Trk4U1Nms,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Epilogo (2023 Remastered Version)
3FK1NhyktJp0Nav4YQ70wy,1KqjFxlP8j40TXaVlupe0s,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Oh Sweet Were The Hours - Remastered
1suorELeXIm3oOGm6WaHCM,1KqjFxlP8j40TXaVlupe0s,4lianjyuR1tqf6oUX8kjrZ,Franco Battiato,Gestillte Sehnsucht - Remastered
743KInv5knd9RNIbf0ZFWv,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Terra incognita (2023 Remastered Version)
0P2h0qWNL6Nyc4RqNtqdaN,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Asrava (2023 Remastered Version)
5K9jL0M4x5sCjujENxFofk,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,La leggerezza della libertà (2023 Remastered Version)
7htfBcBvgKeGVXYxfx2xFA,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,'99 (2023 Remastered Version)
3UDk7GHjm739z2byv8k6PU,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Ezra Pound (2023 Remastered Version)
3CYdYSc42Bx6D52mNlbHMu,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Prologo (2023 Remastered Version)
4iNjJNcibSvB1TvpYaBYo9,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Arc en ciel 2 (2023 Remix)
3Q2bZxxz2xEftFV7feGcpN,1Q3kfxbwLoF0wELqi2KrkS,0sihhSAp2JQBQ2oqapkVxV,Logos,Un giorno (2023 Remix)
0kVMF0D8RSi2cTowFIwdo5,7A0JcNzfXqrWXFoFv7TAsC,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Joy - Alternate Version
385oFBmR10KopjBQHFggC2,7A0JcNzfXqrWXFoFv7TAsC,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Serenity
5wwPIQBoHAgFWRRShl1RKi,7A0JcNzfXqrWXFoFv7TAsC,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Consequences
3ZWmBEx63Z1okrvMnFP6Xd,7A0JcNzfXqrWXFoFv7TAsC,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Joy
723HjkXO2WcxvlS0lMGLtj,7A0JcNzfXqrWXFoFv7TAsC,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,Compassion
